"","Gene.set.name","Category"
"64","Arginine Metabolic Process","BP"
"65","Arginyl-Trna Aminoacylation","BP"
"66","Aromatic Amino Acid Family Biosynthetic Process","BP"
"67","Aromatic Amino Acid Family Biosynthetic Process, Prephenate Pathway","BP"
"68","Aromatic Amino Acid Family Catabolic Process","BP"
"69","Aromatic Amino Acid Family Metabolic Process","BP"
"70","Aromatic Compound Biosynthetic Process","BP"
"71","Aromatic Compound Catabolic Process","BP"
"72","Asparagine Biosynthetic Process","BP"
"73","Asparagine Metabolic Process","BP"
"74","Asparaginyl-Trna Aminoacylation","BP"
"75","Aspartate Family Amino Acid Biosynthetic Process","BP"
"76","Aspartate Family Amino Acid Metabolic Process","BP"
"77","Aspartyl-Trna Aminoacylation","BP"
"78","Atp-Dependent Chromatin Remodeling","BP"
"79","Atp-Dependent Proteolysis","BP"
"80","Atp Biosynthetic Process","BP"
"81","Atp Metabolic Process","BP"
"82","Atp Synthesis Coupled Electron Transport","BP"
"83","Atp Synthesis Coupled Proton Transport","BP"
"84","Autophagic Vacuole Assembly","BP"
"85","Autophagy","BP"
"86","Bacteriochlorophyll Biosynthetic Process","BP"
"87","Bacteriochlorophyll Metabolic Process","BP"
"88","Barrier Septum Assembly","BP"
"89","Barrier Septum Site Selection","BP"
"90","Base-Excision Repair","BP"
"91","Beta-Glucan Biosynthetic Process","BP"
"92","Beta-Glucan Metabolic Process","BP"
"93","Beta-Lactam Antibiotic Biosynthetic Process","BP"
"94","Beta-Lactam Antibiotic Catabolic Process","BP"
"95","Beta-Lactam Antibiotic Metabolic Process","BP"
"96","Biological Adhesion","BP"
"97","Biological Process","BP"
"98","Biological Regulation","BP"
"99","Biosynthetic Process","BP"
"100","Biotin Biosynthetic Process","BP"
"101","Biotin Metabolic Process","BP"
"102","Branched-Chain Amino Acid Biosynthetic Process","BP"
"103","Branched-Chain Amino Acid Metabolic Process","BP"
"104","B Cell Mediated Immunity","BP"
"105","C-Terminal Protein Amino Acid Modification","BP"
"106","C-Terminal Protein Methylation","BP"
"107","Calcium Ion Transport","BP"
"108","Camp Biosynthetic Process","BP"
"109","Camp Metabolic Process","BP"
"110","Carbohydrate Biosynthetic Process","BP"
"111","Carbohydrate Catabolic Process","BP"
"112","Carbohydrate Metabolic Process","BP"
"113","Carbohydrate Phosphorylation","BP"
"114","Carbohydrate Transport","BP"
"115","Carbon Fixation","BP"
"116","Carbon Utilization","BP"
"117","Carboxylic Acid Biosynthetic Process","BP"
"118","Carboxylic Acid Catabolic Process","BP"
"119","Carboxylic Acid Metabolic Process","BP"
"120","Carboxylic Acid Transport","BP"
"121","Carotenoid Biosynthetic Process","BP"
"122","Carotenoid Metabolic Process","BP"
"123","Catabolic Process","BP"
"124","Catechol-Containing Compound Metabolic Process","BP"
"125","Cation Homeostasis","BP"
"126","Cation Transport","BP"
"127","Cell-Cell Signaling","BP"
"128","Cellular Aldehyde Metabolic Process","BP"
"129","Cellular Alkane Metabolic Process","BP"
"130","Cellular Alkene Metabolic Process","BP"
"131","Cellular Amide Catabolic Process","BP"
"132","Cellular Amide Metabolic Process","BP"
"133","Cellular Amine Metabolic Process","BP"
"134","Cellular Amino Acid Biosynthetic Process","BP"
"135","Cellular Amino Acid Catabolic Process","BP"
"136","Cellular Amino Acid Metabolic Process","BP"
"137","Cellular Aromatic Compound Metabolic Process","BP"
"138","Cellular Biogenic Amine Biosynthetic Process","BP"
"139","Cellular Biogenic Amine Metabolic Process","BP"
"140","Cellular Biosynthetic Process","BP"
"141","Cellular Carbohydrate Biosynthetic Process","BP"
"142","Cellular Carbohydrate Catabolic Process","BP"
"143","Cellular Carbohydrate Metabolic Process","BP"
"144","Cellular Catabolic Process","BP"
"145","Cellular Cation Homeostasis","BP"
"146","Cellular Cell Wall Macromolecule Metabolic Process","BP"
"147","Cellular Cell Wall Organization Or Biogenesis","BP"
"148","Cellular Chemical Homeostasis","BP"
"149","Cellular Component Assembly","BP"
"150","Cellular Component Biogenesis","BP"
"151","Cellular Component Disassembly","BP"
"152","Cellular Component Macromolecule Biosynthetic Process","BP"
"153","Cellular Component Morphogenesis","BP"
"154","Cellular Component Movement","BP"
"155","Cellular Component Organization","BP"
"156","Cellular Copper Ion Homeostasis","BP"
"157","Cellular Developmental Process","BP"
"158","Cellular Di-, Tri-Valent Inorganic Cation Homeostasis","BP"
"159","Cellular Glucan Metabolic Process","BP"
"160","Cellular Homeostasis","BP"
"161","Cellular Hormone Metabolic Process","BP"
"162","Cellular Ion Homeostasis","BP"
"163","Cellular Iron Ion Homeostasis","BP"
"164","Cellular Ketone Metabolic Process","BP"
"165","Cellular Lipid Catabolic Process","BP"
"166","Cellular Lipid Metabolic Process","BP"
"167","Cellular Localization","BP"
"168","Cellular Macromolecular Complex Assembly","BP"
"169","Cellular Macromolecular Complex Disassembly","BP"
"170","Cellular Macromolecular Complex Subunit Organization","BP"
"171","Cellular Macromolecule Biosynthetic Process","BP"
"172","Cellular Macromolecule Catabolic Process","BP"
"173","Cellular Macromolecule Localization","BP"
"174","Cellular Macromolecule Metabolic Process","BP"
"175","Cellular Membrane Organization","BP"
"176","Cellular Metabolic Compound Salvage","BP"
"177","Cellular Metabolic Process","BP"
"178","Cellular Modified Amino Acid Biosynthetic Process","BP"
"179","Cellular Modified Amino Acid Metabolic Process","BP"
"180","Cellular Nitrogen Compound Biosynthetic Process","BP"
"181","Cellular Nitrogen Compound Catabolic Process","BP"
"182","Cellular Nitrogen Compound Metabolic Process","BP"
"183","Cellular Polysaccharide Biosynthetic Process","BP"
"184","Cellular Polysaccharide Metabolic Process","BP"
"185","Cellular Process","BP"
"186","Cellular Protein Catabolic Process","BP"
"187","Cellular Protein Complex Assembly","BP"
"188","Cellular Protein Complex Disassembly","BP"
"189","Cellular Protein Localization","BP"
"190","Cellular Protein Metabolic Process","BP"
"191","Cellular Protein Modification Process","BP"
"192","Cellular Respiration","BP"
"193","Cellular Response To Abiotic Stimulus","BP"
"194","Cellular Response To Chemical Stimulus","BP"
"195","Cellular Response To Endogenous Stimulus","BP"
"196","Cellular Response To Ethylene Stimulus","BP"
"197","Cellular Response To External Stimulus","BP"
"198","Cellular Response To Extracellular Stimulus","BP"
"199","Cellular Response To Hormone Stimulus","BP"
"200","Cellular Response To Light Stimulus","BP"
"201","Cellular Response To Nutrient Levels","BP"
"202","Cellular Response To Organic Substance","BP"
"203","Cellular Response To Oxidative Stress","BP"
"204","Cellular Response To Oxygen Radical","BP"
"205","Cellular Response To Radiation","BP"
"206","Cellular Response To Reactive Oxygen Species","BP"
"207","Cellular Response To Red Or Far Red Light","BP"
"208","Cellular Response To Starvation","BP"
"209","Cellular Response To Stimulus","BP"
"210","Cellular Response To Stress","BP"
"211","Cellular Response To Superoxide","BP"
"212","Cellulose Biosynthetic Process","BP"
"213","Cellulose Metabolic Process","BP"
"214","Cell Adhesion","BP"
"215","Cell Communication","BP"
"216","Cell Cycle","BP"
"217","Cell Cycle Arrest","BP"
"218","Cell Cycle Phase","BP"
"219","Cell Cycle Process","BP"
"220","Cell Death","BP"
"221","Cell Differentiation","BP"
"222","Cell Division","BP"
"223","Cell Killing","BP"
"224","Cell Morphogenesis","BP"
"225","Cell Motility","BP"
"226","Cell Proliferation","BP"
"227","Cell Recognition","BP"
"228","Cell Redox Homeostasis","BP"
"229","Cell Surface Receptor Signaling Pathway","BP"
"230","Cell Volume Homeostasis","BP"
"231","Cell Wall Biogenesis","BP"
"232","Cell Wall Macromolecule Biosynthetic Process","BP"
"233","Cell Wall Macromolecule Catabolic Process","BP"
"234","Cell Wall Macromolecule Metabolic Process","BP"
"235","Cell Wall Modification","BP"
"236","Cell Wall Organization","BP"
"237","Cell Wall Organization Or Biogenesis","BP"
"238","Ceramide Metabolic Process","BP"
"239","Chemical Homeostasis","BP"
"240","Chitin Catabolic Process","BP"
"241","Chitin Metabolic Process","BP"
"242","Chloride Transport","BP"
"243","Chlorophyll Biosynthetic Process","BP"
"244","Chlorophyll Catabolic Process","BP"
"245","Chlorophyll Metabolic Process","BP"
"246","Cholesterol Transport","BP"
"247","Chorismate Metabolic Process","BP"
"248","Chromatin Assembly","BP"
"249","Chromatin Assembly Or Disassembly","BP"
"250","Chromatin Modification","BP"
"251","Chromatin Organization","BP"
"252","Chromatin Remodeling","BP"
"253","Chromatin Silencing","BP"
"254","Chromosome Condensation","BP"
"255","Chromosome Organization","BP"
"256","Chromosome Segregation","BP"
"257","Ciliary Or Flagellar Motility","BP"
"258","Citrate Transport","BP"
"259","Clathrin Coat Assembly","BP"
"260","Cobalamin Biosynthetic Process","BP"
"261","Cobalamin Metabolic Process","BP"
"262","Cobalt Ion Transport","BP"
"263","Coenzyme A Biosynthetic Process","BP"
"264","Coenzyme A Metabolic Process","BP"
"265","Coenzyme Biosynthetic Process","BP"
"266","Coenzyme Catabolic Process","BP"
"267","Coenzyme Metabolic Process","BP"
"268","Coenzyme M Biosynthetic Process","BP"
"269","Coenzyme M Metabolic Process","BP"
"270","Cofactor Biosynthetic Process","BP"
"271","Cofactor Catabolic Process","BP"
"272","Cofactor Metabolic Process","BP"
"273","Cofactor Transport","BP"
"274","Cognition","BP"
"275","Copper Ion Homeostasis","BP"
"276","Copper Ion Transport","BP"
"277","Cotranslational Protein Targeting To Membrane","BP"
"278","Covalent Chromatin Modification","BP"
"279","Ctp Biosynthetic Process","BP"
"280","Ctp Metabolic Process","BP"
"281","Cyanate Metabolic Process","BP"
"282","Cyclic Nucleotide Biosynthetic Process","BP"
"283","Cyclic Nucleotide Metabolic Process","BP"
"284","Cysteine Biosynthetic Process","BP"
"285","Cysteine Biosynthetic Process From Serine","BP"
"286","Cysteine Metabolic Process","BP"
"287","Cysteinyl-Trna Aminoacylation","BP"
"288","Cytochrome Complex Assembly","BP"
"289","Cytokinesis","BP"
"290","Cytokinetic Process","BP"
"291","Cytokinin Metabolic Process","BP"
"292","Cytolysis","BP"
"293","Cytolysis By Symbiont Of Host Cells","BP"
"294","Cytolysis In Other Organism","BP"
"295","Cytolysis In Other Organism Involved In Symbiotic Interaction","BP"
"296","Cytoskeleton Organization","BP"
"297","D-Amino Acid Catabolic Process","BP"
"298","D-Amino Acid Metabolic Process","BP"
"299","D-Ribose Metabolic Process","BP"
"300","Death","BP"
"301","Defense Response","BP"
"302","Defense Response To Bacterium","BP"
"303","Defense Response To Fungus","BP"
"304","Defense Response To Gram-Negative Bacterium","BP"
"305","Deoxyribonucleoside Diphosphate Biosynthetic Process","BP"
"306","Deoxyribonucleoside Diphosphate Metabolic Process","BP"
"307","Deoxyribonucleoside Metabolic Process","BP"
"308","Deoxyribonucleoside Monophosphate Biosynthetic Process","BP"
"309","Deoxyribonucleoside Monophosphate Metabolic Process","BP"
"310","Deoxyribonucleoside Triphosphate Biosynthetic Process","BP"
"311","Deoxyribonucleoside Triphosphate Metabolic Process","BP"
"312","Deoxyribonucleotide Biosynthetic Process","BP"
"313","Deoxyribonucleotide Metabolic Process","BP"
"314","Dephosphorylation","BP"
"315","Detection Of Abiotic Stimulus","BP"
"316","Detection Of External Stimulus","BP"
"317","Detection Of Light Stimulus","BP"
"318","Detection Of Stimulus","BP"
"319","Developmental Process","BP"
"320","Di-, Tri-Valent Inorganic Cation Homeostasis","BP"
"321","Diaminopimelate Biosynthetic Process","BP"
"322","Diaminopimelate Metabolic Process","BP"
"323","Dicarboxylic Acid Metabolic Process","BP"
"324","Diol Metabolic Process","BP"
"325","Disaccharide Biosynthetic Process","BP"
"326","Disaccharide Metabolic Process","BP"
"327","Disaccharide Transport","BP"
"328","Disruption By Symbiont Of Host Cell","BP"
"329","Disruption Of Cells Of Other Organism Involved In Symbiotic Interaction","BP"
"330","Divalent Metal Ion Transport","BP"
"331","Dna-Dependent Dna Replication","BP"
"332","Dna-Dependent Transcription, Elongation","BP"
"333","Dna-Dependent Transcription, Initiation","BP"
"334","Dna-Dependent Transcription, Termination","BP"
"335","Dna Alkylation","BP"
"336","Dna Catabolic Process","BP"
"337","Dna Conformation Change","BP"
"338","Dna Duplex Unwinding","BP"
"339","Dna Geometric Change","BP"
"340","Dna Integration","BP"
"341","Dna Metabolic Process","BP"
"342","Dna Methylation","BP"
"343","Dna Modification","BP"
"344","Dna Packaging","BP"
"345","Dna Protection","BP"
"346","Dna Recombination","BP"
"347","Dna Repair","BP"
"348","Dna Replication","BP"
"349","Dna Replication, Synthesis Of Rna Primer","BP"
"350","Dna Replication Initiation","BP"
"351","Dna Topological Change","BP"
"352","Dna Unwinding Involved In Replication","BP"
"353","Double-Strand Break Repair","BP"
"354","Double-Strand Break Repair Via Homologous Recombination","BP"
"355","Double-Strand Break Repair Via Nonhomologous End Joining","BP"
"356","Drug Metabolic Process","BP"
"357","Drug Transmembrane Transport","BP"
"358","Drug Transport","BP"
"359","Dtdp Biosynthetic Process","BP"
"360","Dtdp Metabolic Process","BP"
"361","Dtmp Biosynthetic Process","BP"
"362","Dtmp Metabolic Process","BP"
"363","Dttp Biosynthetic Process","BP"
"364","Dttp Metabolic Process","BP"
"365","Electron Transport","BP"
"366","Electron Transport Chain","BP"
"367","Embryo Development","BP"
"368","Endocytosis","BP"
"369","Endosomal Transport","BP"
"370","Energy Coupled Proton Transmembrane Transport, Against Electrochemical Gradient","BP"
"371","Energy Coupled Proton Transport, Down Electrochemical Gradient","BP"
"372","Energy Derivation By Oxidation Of Organic Compounds","BP"
"373","Energy Derivation By Oxidation Of Reduced Inorganic Compounds","BP"
"374","Energy Reserve Metabolic Process","BP"
"375","Enterobactin Biosynthetic Process","BP"
"376","Enterobactin Metabolic Process","BP"
"377","Enzyme Linked Receptor Protein Signaling Pathway","BP"
"378","Er To Golgi Vesicle-Mediated Transport","BP"
"379","Establishment Of Localization","BP"
"380","Establishment Of Localization In Cell","BP"
"381","Establishment Of Protein Localization","BP"
"382","Establishment Of Rna Localization","BP"
"383","Ethanolamine-Containing Compound Metabolic Process","BP"
"384","Ether Metabolic Process","BP"
"385","Ethylene Mediated Signaling Pathway","BP"
"386","Exocytosis","BP"
"387","Extracellular Polysaccharide Biosynthetic Process","BP"
"388","Extracellular Polysaccharide Metabolic Process","BP"
"389","Fat-Soluble Vitamin Biosynthetic Process","BP"
"390","Fat-Soluble Vitamin Metabolic Process","BP"
"391","Fatty Acid Beta-Oxidation","BP"
"392","Fatty Acid Biosynthetic Process","BP"
"393","Fatty Acid Catabolic Process","BP"
"394","Fatty Acid Metabolic Process","BP"
"395","Fatty Acid Oxidation","BP"
"396","Flavin-Containing Compound Biosynthetic Process","BP"
"397","Flavin-Containing Compound Metabolic Process","BP"
"398","Flavonoid Biosynthetic Process","BP"
"399","Flavonoid Metabolic Process","BP"
"400","Folic Acid-Containing Compound Biosynthetic Process","BP"
"401","Folic Acid-Containing Compound Metabolic Process","BP"
"402","Fructose 2,6-Bisphosphate Metabolic Process","BP"
"403","Fructose Metabolic Process","BP"
"404","Fucose Metabolic Process","BP"
"405","Fumarate Metabolic Process","BP"
"406","G-Protein Coupled Receptor Signaling Pathway","BP"
"407","Galactose Metabolic Process","BP"
"408","Gamete Generation","BP"
"409","Gas Transport","BP"
"410","Gdp-Mannose Metabolic Process","BP"
"411","Generation Of A Signal Involved In Cell-Cell Signaling","BP"
"412","Generation Of Precursor Metabolites And Energy","BP"
"413","Gene Expression","BP"
"414","Gene Silencing","BP"
"415","Gene Silencing By Rna","BP"
"416","Glucan Biosynthetic Process","BP"
"417","Glucan Metabolic Process","BP"
"418","Gluconeogenesis","BP"
"419","Glucose Catabolic Process","BP"
"420","Glucose Metabolic Process","BP"
"421","Glutamate Biosynthetic Process","BP"
"422","Glutamate Metabolic Process","BP"
"423","Glutamine Biosynthetic Process","BP"
"424","Glutamine Family Amino Acid Biosynthetic Process","BP"
"425","Glutamine Family Amino Acid Catabolic Process","BP"
"426","Glutamine Family Amino Acid Metabolic Process","BP"
"427","Glutamine Metabolic Process","BP"
"428","Glutaminyl-Trna Aminoacylation","BP"
"429","Glutamyl-Trna Aminoacylation","BP"
"430","Glutathione Biosynthetic Process","BP"
"431","Glutathione Metabolic Process","BP"
"432","Glyceraldehyde-3-Phosphate Metabolic Process","BP"
"433","Glycerol-3-Phosphate Catabolic Process","BP"
"434","Glycerol-3-Phosphate Metabolic Process","BP"
"435","Glycerolipid Biosynthetic Process","BP"
"436","Glycerolipid Metabolic Process","BP"
"437","Glycerol Catabolic Process","BP"
"438","Glycerol Ether Metabolic Process","BP"
"439","Glycerol Metabolic Process","BP"
"440","Glycerophospholipid Biosynthetic Process","BP"
"441","Glycerophospholipid Metabolic Process","BP"
"442","Glycine Biosynthetic Process","BP"
"443","Glycine Catabolic Process","BP"
"444","Glycine Metabolic Process","BP"
"445","Glycogen Biosynthetic Process","BP"
"446","Glycogen Metabolic Process","BP"
"447","Glycolipid Biosynthetic Process","BP"
"448","Glycolipid Metabolic Process","BP"
"449","Glycolipid Transport","BP"
"450","Glycolysis","BP"
"451","Glycoprotein Biosynthetic Process","BP"
"452","Glycoprotein Catabolic Process","BP"
"453","Glycoprotein Metabolic Process","BP"
"454","Glycosaminoglycan Biosynthetic Process","BP"
"455","Glycosaminoglycan Metabolic Process","BP"
"456","Glycoside Biosynthetic Process","BP"
"457","Glycoside Metabolic Process","BP"
"458","Glycosylation","BP"
"459","Glycyl-Trna Aminoacylation","BP"
"460","Glyoxylate Cycle","BP"
"461","Glyoxylate Metabolic Process","BP"
"462","Gmp Biosynthetic Process","BP"
"463","Gmp Metabolic Process","BP"
"464","Golgi Organization","BP"
"465","Golgi Vesicle Transport","BP"
"466","Gpi Anchor Biosynthetic Process","BP"
"467","Gpi Anchor Metabolic Process","BP"
"468","Gtp Biosynthetic Process","BP"
"469","Gtp Metabolic Process","BP"
"470","Guanosine Biosynthetic Process","BP"
"471","Guanosine Metabolic Process","BP"
"472","Guanosine Tetraphosphate Metabolic Process","BP"
"473","Heme Biosynthetic Process","BP"
"474","Heme Metabolic Process","BP"
"475","Heme Oxidation","BP"
"476","Heme Transport","BP"
"477","Hemoglobin Metabolic Process","BP"
"478","Hemolysis By Symbiont Of Host Erythrocytes","BP"
"479","Hemolysis In Other Organism","BP"
"480","Hemolysis In Other Organism Involved In Symbiotic Interaction","BP"
"481","Hemopoiesis","BP"
"482","Hemopoietic Or Lymphoid Organ Development","BP"
"483","Heterocycle Biosynthetic Process","BP"
"484","Heterocycle Catabolic Process","BP"
"485","Heterocycle Metabolic Process","BP"
"486","Hexose Biosynthetic Process","BP"
"487","Hexose Catabolic Process","BP"
"488","Hexose Metabolic Process","BP"
"489","Histidine Biosynthetic Process","BP"
"490","Histidine Catabolic Process","BP"
"491","Histidine Family Amino Acid Biosynthetic Process","BP"
"492","Histidine Family Amino Acid Catabolic Process","BP"
"493","Histidine Family Amino Acid Metabolic Process","BP"
"494","Histidine Metabolic Process","BP"
"495","Histidyl-Trna Aminoacylation","BP"
"496","Histone Deacetylation","BP"
"497","Histone Modification","BP"
"498","Homeostatic Process","BP"
"499","Hormone-Mediated Signaling Pathway","BP"
"500","Hormone Metabolic Process","BP"
"501","Hydrogen Transport","BP"
"502","Hypersensitivity","BP"
"503","Hypusine Metabolic Process","BP"
"504","Icosanoid Biosynthetic Process","BP"
"505","Icosanoid Metabolic Process","BP"
"506","Immune Effector Process","BP"
"507","Immune Response","BP"
"508","Immune System Development","BP"
"509","Immune System Process","BP"
"510","Immunoglobulin Mediated Immune Response","BP"
"511","Imp Biosynthetic Process","BP"
"512","Imp Metabolic Process","BP"
"513","Indolalkylamine Biosynthetic Process","BP"
"514","Indolalkylamine Metabolic Process","BP"
"515","Indole-Containing Compound Biosynthetic Process","BP"
"516","Indole-Containing Compound Metabolic Process","BP"
"517","Inflammatory Response","BP"
"518","Inflammatory Response To Antigenic Stimulus","BP"
"519","Innate Immune Response","BP"
"520","Inner Mitochondrial Membrane Organization","BP"
"521","Inorganic Anion Transport","BP"
"522","Inositol Biosynthetic Process","BP"
"523","Inositol Metabolic Process","BP"
"524","Inositol Phosphate Metabolic Process","BP"
"525","Inositol Trisphosphate Metabolic Process","BP"
"526","Interaction With Host","BP"
"527","Interaction With Symbiont","BP"
"528","Interphase","BP"
"529","Interphase Of Mitotic Cell Cycle","BP"
"530","Interspecies Interaction Between Organisms","BP"
"531","Intra-Golgi Vesicle-Mediated Transport","BP"
"532","Intracellular Protein Transport","BP"
"533","Intracellular Transport","BP"
"534","Ion Homeostasis","BP"
"535","Ion Transmembrane Transport","BP"
"536","Ion Transport","BP"
"537","Iron-Sulfur Cluster Assembly","BP"
"538","Iron Ion Homeostasis","BP"
"539","Iron Ion Transport","BP"
"540","Isocitrate Metabolic Process","BP"
"541","Isoleucine Biosynthetic Process","BP"
"542","Isoleucine Metabolic Process","BP"
"543","Isoleucyl-Trna Aminoacylation","BP"
"544","Isopentenyl Diphosphate Biosynthetic Process","BP"
"545","Isopentenyl Diphosphate Biosynthetic Process, Mevalonate-Independent Pathway","BP"
"546","Isopentenyl Diphosphate Metabolic Process","BP"
"547","Isoprenoid Biosynthetic Process","BP"
"548","Isoprenoid Metabolic Process","BP"
"549","Killing By Symbiont Of Host Cells","BP"
"550","Killing Of Cells In Other Organism Involved In Symbiotic Interaction","BP"
"551","Killing Of Cells Of Other Organism","BP"
"552","L-Arabinose Metabolic Process","BP"
"553","L-Phenylalanine Biosynthetic Process","BP"
"554","L-Phenylalanine Catabolic Process","BP"
"555","L-Phenylalanine Metabolic Process","BP"
"556","L-Serine Biosynthetic Process","BP"
"557","L-Serine Metabolic Process","BP"
"558","Leucine Biosynthetic Process","BP"
"559","Leucine Metabolic Process","BP"
"560","Leucyl-Trna Aminoacylation","BP"
"561","Leukocyte Mediated Immunity","BP"
"562","Leukotriene Biosynthetic Process","BP"
"563","Leukotriene Metabolic Process","BP"
"564","Lipid A Biosynthetic Process","BP"
"565","Lipid A Metabolic Process","BP"
"566","Lipid Biosynthetic Process","BP"
"567","Lipid Catabolic Process","BP"
"568","Lipid Glycosylation","BP"
"569","Lipid Localization","BP"
"570","Lipid Metabolic Process","BP"
"571","Lipid Modification","BP"
"572","Lipid Oxidation","BP"
"573","Lipid Phosphorylation","BP"
"574","Lipid Transport","BP"
"575","Lipoate Biosynthetic Process","BP"
"576","Lipoate Metabolic Process","BP"
"577","Lipopolysaccharide Biosynthetic Process","BP"
"578","Lipopolysaccharide Metabolic Process","BP"
"579","Lipoprotein Biosynthetic Process","BP"
"580","Lipoprotein Metabolic Process","BP"
"581","Localization","BP"
"582","Localization Of Cell","BP"
"583","Localization Within Membrane","BP"
"584","Locomotion","BP"
"585","Lymphocyte Mediated Immunity","BP"
"586","Lysine Biosynthetic Process","BP"
"587","Lysine Biosynthetic Process Via Diaminopimelate","BP"
"588","Lysine Metabolic Process","BP"
"589","Lysyl-Trna Aminoacylation","BP"
"590","Macroautophagy","BP"
"591","Macromolecular Complex Assembly","BP"
"592","Macromolecular Complex Disassembly","BP"
"593","Macromolecular Complex Subunit Organization","BP"
"594","Macromolecule Biosynthetic Process","BP"
"595","Macromolecule Catabolic Process","BP"
"596","Macromolecule Glycosylation","BP"
"597","Macromolecule Localization","BP"
"598","Macromolecule Metabolic Process","BP"
"599","Macromolecule Methylation","BP"
"600","Macromolecule Modification","BP"
"601","Maintenance Of Fidelity Involved In Dna-Dependent Dna Replication","BP"
"602","Maintenance Of Location","BP"
"603","Maintenance Of Location In Cell","BP"
"604","Maintenance Of Protein Location","BP"
"605","Maintenance Of Protein Location In Cell","BP"
"606","Malate Metabolic Process","BP"
"607","Male Gamete Generation","BP"
"608","Mannose Biosynthetic Process","BP"
"609","Mannose Metabolic Process","BP"
"610","Mature Ribosome Assembly","BP"
"611","Meiosis","BP"
"612","Meiosis I","BP"
"613","Meiotic Cell Cycle","BP"
"614","Meiotic Chromosome Segregation","BP"
"615","Membrane Budding","BP"
"616","Membrane Docking","BP"
"617","Membrane Invagination","BP"
"618","Membrane Lipid Biosynthetic Process","BP"
"619","Membrane Lipid Metabolic Process","BP"
"620","Membrane Organization","BP"
"621","Menaquinone Biosynthetic Process","BP"
"622","Menaquinone Metabolic Process","BP"
"623","Metabolic Process","BP"
"624","Metallo-Sulfur Cluster Assembly","BP"
"625","Metal Ion Transport","BP"
"626","Methane Metabolic Process","BP"
"627","Methanogenesis","BP"
"628","Methionine Biosynthetic Process","BP"
"629","Methionine Metabolic Process","BP"
"630","Methionyl-Trna Aminoacylation","BP"
"631","Methylation","BP"
"632","Microtubule-Based Movement","BP"
"633","Microtubule-Based Process","BP"
"634","Microtubule Cytoskeleton Organization","BP"
"635","Mismatch Repair","BP"
"636","Mitochondrial Atp Synthesis Coupled Electron Transport","BP"
"637","Mitochondrial Electron Transport, Nadh To Ubiquinone","BP"
"638","Mitochondrial Electron Transport, Ubiquinol To Cytochrome C","BP"
"639","Mitochondrial Membrane Organization","BP"
"640","Mitochondrial Transport","BP"
"641","Mitochondrion Organization","BP"
"642","Mitosis","BP"
"643","Mitotic Cell Cycle","BP"
